+-------------------+----------+-------------+---------------------------+--------------+---------------+-----------+------------+-----------------------+
| id_periodo        | ticker   | flag_subida | d                         | fecha_inicio | precio_inicio | fecha_fin | precio_fin | diferencia_porcentaje |
| 20110201-20120502 | AIR.MC   |           0 | crisis_deuda_publica_1112 |     20110201 |       21.0200 |  20120502 |    30.0000 |          42.721217888 |
| 20110201-20120502 | EWT.MC   |           0 | crisis_deuda_publica_1112 |     20110201 |        1.3000 |  20120502 |     1.7700 |          36.153846154 |
| 20110201-20120502 | INVEX.MC |           0 | crisis_deuda_publica_1112 |     20110201 |       48.1800 |  20120502 |    65.5400 |          36.031548360 |
| 20110201-20120502 | VIS.MC   |           0 | crisis_deuda_publica_1112 |     20110201 |       26.8700 |  20120502 |    34.2800 |          27.577223670 |
| 20110201-20120502 | ITX.MC   |           0 | crisis_deuda_publica_1112 |     20110201 |       11.0340 |  20120502 |    13.5100 |          22.439731738 |
| 20110201-20120502 | DXSPX.MC |           0 | crisis_deuda_publica_1112 |     20110201 |       14.8800 |  20120502 |    17.1100 |          14.986559140 |
| 20110201-20120502 | ZNK.MC   |           0 | crisis_deuda_publica_1112 |     20110201 |        0.8686 |  20120502 |     0.9691 |          11.570343081 |
| 20110201-20120502 | STG.MC   |           0 | crisis_deuda_publica_1112 |     20110201 |        2.6200 |  20120502 |     2.9200 |          11.450381679 |
| 20130603-20150202 | MAS.MC   |           1 | bonanza_1315              |     20130603 |        2.6300 |  20150202 |    16.2500 |         517.870722433 |
| 20130603-20150202 | COM.MC   |           1 | bonanza_1315              |     20130603 |        0.3800 |  20150202 |     1.2300 |         223.684210526 |
| 20130603-20150202 | ALC.MC   |           1 | bonanza_1315              |     20130603 |        2.9200 |  20150202 |     8.7700 |         200.342465753 |
| 20130603-20150202 | BNT.MC   |           1 | bonanza_1315              |     20130603 |        2.0000 |  20150202 |     5.9500 |         197.500000000 |
| 20130603-20150202 | REN.MC   |           1 | bonanza_1315              |     20130603 |        0.5700 |  20150202 |     1.5000 |         163.157894737 |
| 20130603-20150202 | RDM.MC   |           1 | bonanza_1315              |     20130603 |        0.1140 |  20150202 |     0.2960 |         159.649122807 |
| 20130603-20150202 | A3M.MC   |           1 | bonanza_1315              |     20130603 |        4.8300 |  20150202 |    12.4600 |         157.971014493 |
| 20130603-20150202 | MTB.MC   |           1 | bonanza_1315              |     20130603 |        0.5720 |  20150202 |     1.3708 |         139.650349650 |
| 20130603-20150202 | XBFR.MC  |           1 | bonanza_1315              |     20130603 |        1.7400 |  20150202 |     4.0340 |         131.839080460 |
| 20130603-20150202 | BKT.MC   |           1 | bonanza_1315              |     20130603 |        2.8220 |  20150202 |     6.1750 |         118.816442240 |
| 20130603-20150202 | IAG.MC   |           1 | bonanza_1315              |     20130603 |        3.2200 |  20150202 |     7.0250 |         118.167701863 |
| 20130603-20150202 | CIE.MC   |           1 | bonanza_1315              |     20130603 |        5.6600 |  20150202 |    12.2500 |         116.431095406 |
| 20130603-20150202 | APAM.MC  |           1 | bonanza_1315              |     20130603 |       10.6000 |  20150202 |    22.8950 |         115.990566038 |
| 20130603-20150202 | LGT.MC   |           1 | bonanza_1315              |     20130603 |        2.2500 |  20150202 |     4.8000 |         113.333333333 |
| 20130603-20150202 | NEA.MC   |           1 | bonanza_1315              |     20130603 |        0.6800 |  20150202 |     1.3350 |          96.323529412 |
| 20130603-20150202 | FCC.MC   |           1 | bonanza_1315              |     20130603 |        5.5668 |  20150202 |    10.5384 |          89.308040526 |
| 20130603-20150202 | VOC.MC   |           1 | bonanza_1315              |     20130603 |        0.8800 |  20150202 |     1.6400 |          86.363636364 |
| 20130603-20150202 | REE.MC   |           1 | bonanza_1315              |     20130603 |       41.1250 |  20150202 |    73.9200 |          79.744680851 |
| 20130603-20150202 | MEL.MC   |           1 | bonanza_1315              |     20130603 |        5.7000 |  20150202 |    10.2150 |          79.210526316 |
| 20130603-20150202 | TL5.MC   |           1 | bonanza_1315              |     20130603 |        5.8650 |  20150202 |    10.4300 |          77.834612106 |
| 20130603-20150202 | BME.MC   |           1 | bonanza_1315              |     20130603 |       20.0600 |  20150202 |    35.5000 |          76.969092722 |
| 20130603-20150202 | PHM.MC   |           1 | bonanza_1315              |     20130603 |        1.7250 |  20150202 |     3.0450 |          76.521739130 |
| 20130603-20150202 | EWT.MC   |           1 | bonanza_1315              |     20130603 |        1.7000 |  20150202 |     3.0000 |          76.470588235 |
| 20130603-20150202 | STG.MC   |           1 | bonanza_1315              |     20130603 |        2.5600 |  20150202 |     4.4800 |          75.000000000 |
| 20130603-20150202 | SAB.MC   |           1 | bonanza_1315              |     20130603 |        1.0700 |  20150202 |     1.8064 |          68.822429907 |
| 20130603-20150202 | ALM.MC   |           1 | bonanza_1315              |     20130603 |        9.4000 |  20150202 |    15.7400 |          67.446808511 |
| 20130603-20150202 | NHH.MC   |           1 | bonanza_1315              |     20130603 |        2.6250 |  20150202 |     4.3900 |          67.238095238 |
| 20130603-20150202 | ACX.MC   |           1 | bonanza_1315              |     20130603 |        7.8400 |  20150202 |    12.9050 |          64.604591837 |
| 20130603-20150202 | IBEXA.MC |           1 | bonanza_1315              |     20130603 |       12.3300 |  20150202 |    20.2500 |          64.233576642 |
| 20130603-20150202 | ISUR.MC  |           1 | bonanza_1315              |     20130603 |        4.1100 |  20150202 |     6.7500 |          64.233576642 |
| 20130603-20150202 | AZK.MC   |           1 | bonanza_1315              |     20130603 |        1.4050 |  20150202 |     2.2500 |          60.142348754 |
| 20130603-20150202 | SCYR.MC  |           1 | bonanza_1315              |     20130603 |        2.0886 |  20150202 |     3.3300 |          59.436943407 |
| 20130603-20150202 | VID.MC   |           1 | bonanza_1315              |     20130603 |       27.9000 |  20150202 |    44.2900 |          58.745519713 |
| 20130603-20150202 | BAY.MC   |           1 | bonanza_1315              |     20130603 |       82.0000 |  20150202 |   127.9500 |          56.036585366 |
| 20130603-20150202 | ROVI.MC  |           1 | bonanza_1315              |     20130603 |        6.9900 |  20150202 |    10.9000 |          55.937052933 |
| 20130603-20150202 | QBT.MC   |           1 | bonanza_1315              |     20130603 |        2.1500 |  20150202 |     3.3500 |          55.813953488 |
| 20130603-20150202 | UBS.MC   |           1 | bonanza_1315              |     20130603 |        0.0110 |  20150202 |     0.0170 |          54.545454545 |
| 20130603-20150202 | LEV.MC   |           1 | bonanza_1315              |     20130603 |       15.1400 |  20150202 |    23.0500 |          52.245706737 |
| 20130603-20150202 | INR.MC   |           1 | bonanza_1315              |     20130603 |       10.3900 |  20150202 |    15.7800 |          51.876804620 |
| 20130603-20150202 | AMS.MC   |           1 | bonanza_1315              |     20130603 |       23.2800 |  20150202 |    35.3150 |          51.696735395 |
| 20130603-20150202 | PAC.MC   |           1 | bonanza_1315              |     20130603 |        2.8293 |  20150202 |     4.2750 |          51.097444598 |
| 20130603-20150202 | IBE.MC   |           1 | bonanza_1315              |     20130603 |        4.1500 |  20150202 |     6.0640 |          46.120481928 |
| 20130603-20150202 | BKIA.MC  |           1 | bonanza_1315              |     20130603 |        3.2000 |  20150202 |     4.6080 |          44.000000000 |
| 20130603-20150202 | ENG.MC   |           1 | bonanza_1315              |     20130603 |       19.1800 |  20150202 |    27.5200 |          43.482794578 |
| 20130603-20150202 | GCO.MC   |           1 | bonanza_1315              |     20130603 |       17.8400 |  20150202 |    25.3000 |          41.816143498 |
| 20130603-20150202 | CBAV.MC  |           1 | bonanza_1315              |     20130603 |        5.1600 |  20150202 |     7.2800 |          41.085271318 |
| 20130603-20150202 | MCM.MC   |           1 | bonanza_1315              |     20130603 |       21.8500 |  20150202 |    30.8000 |          40.961098398 |
| 20130603-20150202 | BDL.MC   |           1 | bonanza_1315              |     20130603 |       54.3000 |  20150202 |    76.5000 |          40.883977901 |
